% Data collected at the edge of a turbulent plume of dye 
% released from a point-source in uniformly shear flow. 
% 
% This is PlumeData2.txt, acquired at a position y = 18.5 mm 
% above the centreline of the plume. The data consists of 
% 1000 independent samples of the concentration and velocity
% at this point.
%
% C, concentration normalised by the source concentration (unitless)
% U, streamwise velocity (mm/s)
% V, vertical velocity in the direction of the shear (mm/s)
% W, spanwise velocity (mm/s)
%
% Details of the experiment are provided by Vanderwel & Tavoularis (2014). 
% Measurements of turbulent diffusion in uniformly sheared flow. 
% Journal of fluid mechanics, 754, 488-514.
% 
C,U,V,W
0,191.788441318083,-15.7898363400371,-2.14436436601688
0,178.846789880208,-4.52299680223027,2.49706383473211
0,166.673709678051,-3.46629616107216,12.3409877381211
0,167.606554144371,10.0975673615133,2.0600948888337
0,183.838255329363,-5.30488666433292,4.10621061997913
0,194.901972230732,0.491303260496291,0.954176239303829
0.0180356490401261,190.590222659162,4.96938991770377,-8.1355483866499
0,190.060747218919,-4.79570388054486,-5.59884591266071
0.00248677280080429,175.181538022486,0.805567566695393,-0.308927152458036
0,177.368491664505,9.98503115854166,-2.34246126021613
0.00827687190308164,171.068723782821,5.67068839701033,6.43796426477828
0,184.930529502372,-10.3792041084694,3.50227200114672
0,174.83502087162,13.1688817120089,3.06270340482466
0,168.631425565026,6.662777051771,1.40389127270254
0,164.700605723081,3.54436301874457,3.13802309693466
