time, U, V, W
19.9615,0.6108213,0.00609546062,-0.04825159
19.968,0.609378934,0.006390931,-0.04958156
19.9745,0.609449267,0.006576524,-0.05020657
19.981,0.6115358,0.00643067528,-0.050190188
19.9875,0.615973532,0.00564924069,-0.049647592
19.994,0.6227701,0.004035556,-0.0489248224
20.0005,0.631392241,0.00171408837,-0.0484635159
20.007,0.641193151,-0.00119422586,-0.0482674651
20.0135,0.6513612,-0.00451356545,-0.0478220843
20.02,0.6609307,-0.008027445,-0.0461488441
20.0265,0.6689042,-0.011459291,-0.04354361
20.033,0.6743984,-0.0145068867,-0.04112193
20.0395,0.676886439,-0.0169114638,-0.0403763838
20.046,0.676336646,-0.0185001437,-0.04250846
20.0525,0.673454,-0.0190675538,-0.0473053381
20.059,0.6690086,-0.0185379535,-0.05380483
20.0655,0.663627744,-0.0169983581,-0.0604886636
20.072,0.6577978,-0.0146336528,-0.0655002147
20.0785,0.651921332,-0.0118162306,-0.0671742
20.085,0.646373451,-0.008968278,-0.06481908
20.0915,0.6414416,-0.00651502,-0.0587859824
20.098,0.63727653,-0.00494425464,-0.05037742
20.1045,0.6338341,-0.004589916,-0.0411169678
20.111,0.630854249,-0.00540326536,-0.0319322161
20.1175,0.6279308,-0.00712732738,-0.0235265922
20.124,0.624567568,-0.009266584,-0.0163557716
20.1305,0.620340347,-0.0112537909,-0.010701309
20.137,0.615143836,-0.0129403444,-0.00660888664
20.1435,0.608914,-0.0142966853,-0.003862203
20.15,0.6016362,-0.0154122505,-0.00209287112
20.1565,0.593305469,-0.016455112,-0.000837578555
20.163,0.584159732,-0.0173898321,-2.157269e-05
20.1695,0.5744202,-0.0181992035,0.000590125332
20.176,0.564356565,-0.0187780559,0.00130199618
20.1825,0.5543685,-0.0188176725,0.00247611455
20.189,0.544788,-0.0181593224,0.004314881
20.1955,0.5360083,-0.0167343523,0.00663802866
20.202,0.528388441,-0.0146219349,0.008973589
20.2085,0.5221947,-0.0121177351,0.0105808144
20.215,0.517381549,-0.009473137,0.0110426228
20.2215,0.513619363,-0.006898308,0.0103230719
20.228,0.5104645,-0.00455278158,0.008596025
20.2345,0.5074855,-0.00246173516,0.00626060273
20.241,0.5044941,-0.000688239932,0.003501153
20.2475,0.501425,0.0006861094,0.0002789226
20.254,0.4981939,0.00177075644,-0.00331144664
20.2605,0.494829267,0.00282736728,-0.0071895076
20.267,0.491525,0.00417559,-0.0113256322
20.2735,0.4884464,0.005854496,-0.0158077162
20.28,0.485629141,0.00766305067,-0.0207529645
20.2865,0.482938915,0.009319295,-0.0261189938
20.293,0.480175465,0.0105869863,-0.03170438
20.2995,0.477101743,0.0116097219,-0.0371591337
20.306,0.473596573,0.0125664286,-0.04219643
20.3125,0.469648,0.0136453053,-0.0466121547
20.319,0.465326,0.01502315,-0.050196752
20.3255,0.460924238,0.0165949129,-0.0529900342
20.332,0.456616074,0.0182471052,-0.0550893471
20.3385,0.452462435,0.01988286,-0.0566456281
20.345,0.448450267,0.0214465111,-0.05784438
20.3515,0.444557965,0.0229387823,-0.05874263
20.358,0.440750569,0.0243210159,-0.05943965
20.3645,0.43698,0.0255439468,-0.0600949377
20.371,0.4332739,0.0265679657,-0.0609939024
20.3775,0.4297685,0.0274175331,-0.062274646
20.384,0.426591158,0.028100783,-0.06374557
20.3905,0.423830628,0.0285897814,-0.06521597
20.397,0.421493769,0.02884804,-0.06655
20.4035,0.419609427,0.02889667,-0.0678720549
20.41,0.4184086,0.02892003,-0.06940018
20.4165,0.4180884,0.0289816745,-0.0710938051
20.423,0.418715775,0.0289815962,-0.07262562
20.4295,0.4200425,0.02863095,-0.0733264461
20.436,0.4217838,0.02721033,-0.07244543
20.4425,0.42392996,0.02433863,-0.06936347
20.449,0.426802754,0.019916689,-0.0637379661
20.4555,0.430977523,0.0139467316,-0.0554363653
20.462,0.437388122,0.00728033856,-0.0456237644
20.4685,0.446948975,0.00071138615,-0.035458453
20.475,0.4605419,-0.00504506,-0.0259776544
20.4815,0.479132146,-0.009206419,-0.0178839359
20.488,0.502481639,-0.012072647,-0.0113041727
20.4945,0.528889239,-0.014242366,-0.006619565
20.501,0.5558524,-0.0162119772,-0.00436985772
20.5075,0.5803478,-0.0185362212,-0.00553160068
20.514,0.5998659,-0.02118889,-0.010021464
20.5205,0.613348961,-0.02382729,-0.0162236728
20.527,0.6204963,-0.0262993984,-0.0224994812
20.5335,0.6217268,-0.0282639638,-0.0267970338
20.54,0.6184285,-0.0292880833,-0.0278673247
20.5465,0.6127149,-0.0295197386,-0.0272560716
20.553,0.606501162,-0.0290942974,-0.0258653946
20.5595,0.601476967,-0.0285316,-0.024808351
20.566,0.5987722,-0.0290602073,-0.025731504
20.5725,0.596694469,-0.0306485035,-0.02701654
20.579,0.59419024,-0.0332051665,-0.0279507
20.5855,0.5904274,-0.0361335948,-0.0276799928
20.592,0.5844716,-0.03761354,-0.02435473
20.5985,0.5786665,-0.037399143,-0.0186130386
20.605,0.5739521,-0.0354528427,-0.010843128
20.6115,0.5705204,-0.03221352,-0.00176694861
20.618,0.5682473,-0.0291162767,0.007139573
20.6245,0.5649324,-0.0264445562,0.015075611
20.631,0.558981657,-0.0238483865,0.0214614421
20.6375,0.549652934,-0.0207856186,0.0257952735
20.644,0.5368893,-0.0161208063,0.0280194618
20.6505,0.52216965,-0.009484446,0.028203398
20.657,0.5073701,-0.0015657011,0.0263509881
20.6635,0.493979633,0.006854927,0.0226944853
20.67,0.483025253,0.0145955291,0.0173846856
20.6765,0.474688083,0.0205483,0.0106626851
20.683,0.4684831,0.0245075,0.003516627
20.6895,0.463662654,0.0263438951,-0.0031333142
20.696,0.459387332,0.0263240375,-0.008291325
20.7025,0.4550293,0.02511736,-0.0109954588
20.709,0.450148642,0.0232238583,-0.0114263892
20.7155,0.444656253,0.0211700946,-0.009883152
20.722,0.438693345,0.01929319,-0.006920674
20.7285,0.4320736,0.0178237427,-0.002901
20.735,0.4255972,0.0165375844,0.001380503
20.7415,0.4195401,0.0153054669,0.005249938
20.748,0.414061248,0.014081154,0.008031851
20.7545,0.409575224,0.012759788,0.008717726
20.761,0.4057864,0.0117686139,0.00715431431
20.7675,0.402593583,0.0114924088,0.00355518749
20.774,0.400077,0.0120991617,-0.00155807834
20.7805,0.398554146,0.0136155039,-0.00743086543
20.787,0.397939116,0.0156718176,-0.0129002081
20.7935,0.397730947,0.0178036112,-0.0167287178
20.8,0.397457361,0.0197892021,-0.01795762
20.8065,0.39624095,0.0214675665,-0.0159167666
20.813,0.3935319,0.023079183,-0.0103868879
20.8195,0.390246272,0.0255081337,-0.00167976227
20.826,0.386975,0.02923575,0.009658438
20.8325,0.384635568,0.03474151,0.0230320748
20.839,0.384593546,0.042646233,0.037990205
20.8455,0.386362672,0.05130148,0.051821366
20.852,0.389676839,0.0596201122,0.06274216
20.8585,0.393885136,0.06638893,0.06922056
20.865,0.39823097,0.06976857,0.068947196
20.8715,0.401100546,0.0696511343,0.0633059442
20.878,0.401540756,0.06586336,0.0530390628
20.8845,0.398999929,0.05865365,0.03926046
20.891,0.3922821,0.04839213,0.0233973339
20.8975,0.383227229,0.03640461,0.006856285
20.904,0.373814166,0.0239266567,-0.009162681
20.9105,0.366072,0.0121114841,-0.0236716531
20.917,0.362555861,0.00222664839,-0.0358233973
20.9235,0.3651007,-0.005097936,-0.04539816
20.93,0.3743992,-0.009787909,-0.0524076559
20.9365,0.390615642,-0.01197604,-0.0568851121
20.943,0.413664162,-0.0120447567,-0.0589869469
20.9495,0.44240573,-0.0107253687,-0.05916788
20.956,0.47477442,-0.00889044,-0.05828748
20.9625,0.5095941,-0.007135489,-0.057221245
20.969,0.5456586,-0.005882876,-0.0569618233
20.9755,0.581613243,-0.00536053954,-0.0584943444
20.982,0.617642641,-0.00530406553,-0.061895337
20.9885,0.6526868,-0.005686875,-0.06709886
20.995,0.685401,-0.00649608532,-0.0738189444
21.0015,0.714552939,-0.007675613,-0.0818276554
21.008,0.7380053,-0.009535897,-0.0893052444
21.0145,0.7543659,-0.0123733673,-0.0934837759
21.021,0.7633283,-0.0163171962,-0.0914126
21.0275,0.765906,-0.02107194,-0.08063145
21.034,0.765406,-0.0257746615,-0.06288615
21.0405,0.765408635,-0.029689122,-0.041790653
21.047,0.7684785,-0.0325829238,-0.0213734061
21.0535,0.7753226,-0.0348429754,-0.00531994272
21.06,0.7839774,-0.03711594,0.005768111
21.0665,0.7919468,-0.03963435,0.0134455
21.073,0.797566235,-0.0422819257,0.01957392
21.0795,0.8003175,-0.04490441,0.02571934
21.086,0.8004947,-0.0470287055,0.0313979127
21.0925,0.7982956,-0.047629036,0.0344649442
21.099,0.793743551,-0.04587278,0.03359354
21.1055,0.786605358,-0.04120332,0.0282833911
21.112,0.776192546,-0.0340546444,0.0190325137
21.1185,0.762123,-0.0265156329,0.007647038
21.125,0.7446707,-0.0199378356,-0.0041944785
21.1315,0.7252491,-0.0149711035,-0.01473544
21.138,0.7068974,-0.0114910919,-0.0221531466
21.1445,0.6910484,-0.008871594,-0.0266550668
21.151,0.6779963,-0.00691804662,-0.0289133415
21.1575,0.666984558,-0.00558643276,-0.02996838
21.164,0.656699657,-0.00487238541,-0.0307841
21.1705,0.6473644,-0.00461517926,-0.03109739
21.177,0.6393073,-0.00461691525,-0.0306648873
21.1835,0.632519662,-0.00462747971,-0.0295666382
21.19,0.6264527,-0.00442125462,-0.0284066461
21.1965,0.620501161,-0.003914915,-0.0277046561
21.203,0.61445713,-0.00322794449,-0.0275277272
21.2095,0.6082476,-0.00256749452,-0.0277607888
21.216,0.601843238,-0.00209020264,-0.02827822
21.2225,0.595057,-0.00183990621,-0.02932363
21.229,0.5877974,-0.00183661748,-0.0311606787
21.2355,0.5802316,-0.002136788,-0.03371966
21.242,0.5726079,-0.00277513824,-0.03666859
21.2485,0.565148,-0.00373144634,-0.03957749
21.255,0.558069468,-0.004950207,-0.04234963
21.2615,0.5515634,-0.006328182,-0.0449194238
21.268,0.545781,-0.00770860724,-0.04724276
21.2745,0.540801167,-0.008810447,-0.049285762
21.281,0.5365852,-0.009377499,-0.0507401153
21.2875,0.5330012,-0.009247256,-0.05134507
